Longitude (degrees), Latitude (degrees), Moho depth estimate (km)
10,47.6089331407295,33.1259938823283
10,47.7614697092796,31.2058475558519
10,49.154445165473,23.2052378622004
10,46.3878117096794,47.046649317861
10,46.2387788523019,44.1418564852495
10,45.8602011341361,38.0465194208928
10,43.8936922923504,25.1745212168997
10,44.0402993043816,27.4764092900179
10,44.1828338994119,27.0235771803406
10.0321525448271,43.7,25.7100209787544
10.0708890943162,45.8,47.1374064122261
10.0739211818393,47.2,32.870160607094
10.1237924377164,45.1,36.8311824920418
10.1907486030412,49.3,25.7365407137598
10.284905693152,46.5,43.9704932242139
10.3133779933041,45.8,43.172180627656
10.3361509619343,47.9,26.5253827522276
10.3391555092288,43.7,24.9161332553519
10.3660242519766,47.2,36.0389781150522
10.4301444381043,45.1,36.8311824920418
10.4988106807654,48.6,21.7599613909777
10.5256872387241,49.3,28.1137839281332
10.5642547628267,47.9,28.1106318402008
10.6082560662368,47.2,34.4545693610731
10.6212807130498,50,28.9032563841874
10.6557152624634,45.8,47.9304515691401
10.7293719733669,45.1,36.8311824920418
10.7840917383982,48.6,23.3460517048057
10.8208715388306,47.9,26.5253827522276
10.8208715388306,50,28.1106318402008
10.8463731665055,49.3,29.6986127377154
10.9267322672146,45.8,47.9304515691401
10.9359814620007,47.2,33.6623649840835
11,47.579479371953,38.3375238029042
11,47.7367636778997,33.4405430815229
11,48.0282639249207,32.0414057325568
11,48.1855482308674,30.8754579417517
11,48.4686599815713,25.5120981040484
11,48.8167825787332,26.9112354530145
11,49.0936029571993,24.8125294295654
11,49.4228514376476,29.4763205927856
11,49.571747247277,30.1758892672687
11,49.6975746920343,30.8754579417517
11,48.9547382116611,26.3442388140482
11,50.4401477820657,30.4225106219066
11,50.5446766036868,29.6068562603349
11,50.647371586332,28.7912018987632
11,43.3408498184661,22.0459021737691
11,43.5006138700385,21.3999039194044
11,43.6981403338007,20.7539056650396
11,43.955666797563,22.2074017373603
11,44.1236936711709,34.9968698795171
11,44.7700118798047,44.4943415129445
11,44.87603711403,45.1403397673092
11,45.2315023749755,40.1949163024971
11,45.3198502644571,40.6987028199384
11,45.5780979414033,50.7744331687649
11,45.6823031443815,51.0263264274855
11,45.7706510338631,51.0263264274855
11,46.3619022942398,47.240354511793
11,46.4479848532219,48.240354511793
11,46.5521900562002,49.0111803577203
11,46.6337419541832,51.0263264274855
11,46.7243551741643,53.2933657559715
11,46.8466830211388,55.5604050844574
11,47.3571842195485,42.5349358498024
11,47.4746231679886,42.0685567334804
11,49.2550815113045,26.9112354530145
11,48.655304024628,26.4448563366925
11,48.3155699237833,28.7767519183026
11,47.8961451079256,32.7409744070398
11,49.8313132420974,31.849905754657
11,50.0000264278718,31.2381649834782
11,50.8087494162031,28.1794611275845
11,45.8793868978404,51.2782196862062
11,45.9790614398197,50.7744331687649
11,46.0742053207998,49.7668601338823
11.0214750435043,45.1,39.2077956230104
11.069372796031,48.6,24.1390968617197
11.1030931183214,43.7,35.2366736595848
11.1345142650576,47.9,28.9032563841874
11.1915402152807,50,28.1106318402008
11.238322633794,49.3,30.4910271425065
11.2445548623732,43,22.5576345173774
11.3135781136416,47.2,33.6623649840835
11.3420759741428,45.1,39.2077956230104
11.4053875286173,47.9,29.6958809281741
11.4188420916311,48.6,23.3460517048057
11.4695417226182,50,27.3180072962142
11.4972943824802,45.8,50.3095870398822
11.6017666852796,49.3,31.2834415472976
11.6128056489043,47.2,38.4155912460209
11.6898590963823,45.8,45.5513160983981
11.7125481606585,45.1,33.6623649840835
11.7611793607905,48.6,24.9321420186337
11.7831844488452,50,28.1106318402008
11.7903126926231,47.9,33.6590036481071
11.8621619282898,47.2,40
11.9904023005452,45.1,35.2467737380626
12,50.9900109334938,24.7110989259012
12,50.8259328883166,27.4477958555207
12,50.678262647657,28.3600281653939
12,50.5039297246563,28.5880862428621
12,50.2988321681847,30.4125508626085
12,49.9645231511362,31.0967250950134
12,49.8168529104767,29.5003185527353
12,49.7040492544173,28.3600281653939
12,49.4073250711072,28.1373767164459
12,49.261135742871,27.440711932327
12,49.0940622248868,25.5829391746768
12,48.9478728966506,26.0473823640893
12,48.79541831149,26.0473823640893
12,48.6220795365814,28.6018199058585
12,48.4382986667987,29.7629278793899
12,48.2315451882933,33.9429165841031
12,48.0811790221075,38.5873484782288
12,47.8263919071815,35.3362461523408
12,47.3897672011048,44.4177982717089
12,47.3036112885637,49.0910179668312
12,47.120792644879,60.540406219881
12,46.912757636548,61.9423721284177
12,46.7698649035531,61.4750501589055
12,46.0385903288141,41.3802054698793
12,45.9062044144217,38.1089516832937
12,45.7801225911909,35.5386808509764
12,50.1286011963134,30.6406089400768
12,47.7007690317409,37.8752906985376
12,47.5641803899075,41.1465444851232
12,46.6353776254402,54.9325425857342
12,46.4777753464016,51.8949497839047
12,46.2844498841143,46.2870861497578
12,46.1499626060014,43.7168153174405
12,44.9488478785095,23.6788942659048
12,43.3580421885212,66.5976671784393
12,43.5311911071594,60.98212679736
12,43.6754818726912,54.1632563346209
12,43.807147196239,50.3527110760314
12,44.0001360951378,50.361036280181
12,45.3829648480137,30.1644782015857
12,45.282099389429,29.4634952473173
12.0326729810713,47.9,32.8663791041205
12.0859107460772,43,55.0638610986285
12.1039554188501,50,28.9032563841874
12.1106486563907,45.8,43.172180627656
12.1576222934341,49.3,28.9061983329242
12.1677048679172,48.6,28.1043226462898
12.2967543009332,45.1,31.2857518531148
12.3273748891704,46.5,51.1173810277989
12.3283353227376,43,53.4781915092992
12.3677004386319,47.9,32.8663791041205
12.3677004386319,50,28.1106318402008
12.3816656611418,45.8,40
